Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
23,male,Hobbit,Mr.,Haiduc,E,Lightfoot,57 Wiltshire Mews,Yaldhurst,,Christchurch,8042,NZ,New Zealand,HaiducLightfoot@superrito.com,Whaviand1996,ko1Heikee7,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0,(021) 1165-053,64,Button,3/2/1996,Pisces,MasterCard,5197609315008649,575,11/2017,,1Z F66 199 69 6211 909 8,8216880070,45412688,Orange,Pipe organ repairer,Sports Town USA,2000 BMW 320,CheatersAnonymous.co.nz,O+,125.8,57.2,"2' 1""",63,94ddb985-9001-4f45-828d-e7a5be9c2217,-43.517975,172.460943
24,female,Hobbit,Mrs.,Angelica,H,Grubb,224 Bowden Place,Te Awamutu,,Hamilton,3800,NZ,New Zealand,AngelicaGrubb@einrot.com,Allynay1944,eiNiw4Pei,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0,(020) 0367-784,64,Chubb-Baggins,4/19/1944,Aries,Visa,4916377737153228,437,9/2016,,1Z 946 657 03 4568 260 9,7420965069,39826743,Green,Brake repairer,Royal Gas,1996 Mazda Sentia,EastDesMoines.co.nz,A+,110.7,50.3,"3' 8""",112,35ad3314-ed70-42e3-b2b9-9099013ed436,-38.061659,175.257703
28,female,Hobbit,Ms.,Goldilocks,R,Grubb,51 Caldwell Lane,St Martins,,Christchurch,8022,NZ,New Zealand,GoldilocksGrubb@teleworm.us,Berldn,Yuoch4ua,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:40.0) Gecko/20100101 Firefox/40.0,(022) 4319-771,64,Gardner,1/24/1989,Aquarius,Visa,4539104559873635,560,10/2018,,1Z 6W9 910 04 3383 003 7,3264487260,88303803,Blue,Personnel analyst,Best Biz Survis,2004 Cadillac Escalade,BowlingCourse.co.nz,O+,146.1,66.4,"3' 0""",91,576c13c1-3860-4d1e-ab2e-608b8e210a46,-43.606913,172.649523
29,female,Hobbit,Mrs.,Pansy,O,Hogpen,241 Hutt Road,Johnsonville,,Wellington,6037,NZ,New Zealand,PansyHogpen@cuvox.de,Loste1955,utha8Pe3aer,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(028) 5916-173,64,Goold,10/19/1955,Libra,Visa,4929121516490988,79,11/2017,,1Z 66W 04E 43 4445 803 4,7596728396,39219557,Purple,Fabric mender,Asian Fusion,1999 Opel Frontera,LocalChronicle.co.nz,AB+,133.8,60.8,"3' 6""",106,a12daf40-ab18-431f-9e65-0882bac2e721,-41.144631,174.828166
31,male,Hobbit,Mr.,Largo,G,Burrowes,88 Crawshaw Drive,Forest Lake,,Hamilton,3200,NZ,New Zealand,LargoBurrowes@armyspy.com,Ausuchers,aGh5ohchai4,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(028) 2245-331,64,Gardner,8/24/1968,Virgo,Visa,4929102867509394,253,9/2018,,1Z 27Y 6F3 31 4006 563 4,3936360343,86989872,Blue,Instructional materials director,Kenny Rogers Roasters,2002 Ford F-150,ParkingAlternatives.co.nz,O+,137.1,62.3,"3' 3""",98,40a1a2bd-3ee6-4d57-9f36-9722d481604b,-37.816371,175.21884
32,female,Hobbit,Mrs.,Diamond,M,Burrowes,174 Heidi Place,Hei Hei,,Christchurch,8042,NZ,New Zealand,DiamondBurrowes@superrito.com,Butia1943,Keitae7er,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0,(028) 2687-696,64,Goodbody,7/4/1943,Cancer,MasterCard,5475856502608722,394,2/2017,,1Z 913 527 17 9133 095 9,9973358078,71455789,Blue,Science technician,Ruehl No. 925,2003 Mitsubishi Diamante,FindLawnmowers.co.nz,O+,124.1,56.4,"2' 2""",66,704cfc7f-ca87-47b1-87fc-dbde3d2c7677,-43.60963,172.515416
33,male,Hobbit,Mr.,Marmadoc,N,Boffin,167 Baden Road,Newtown,,Wellington,6021,NZ,New Zealand,MarmadocBoffin@einrot.com,Sessood,Aexi1ohm7,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(021) 2650-377,64,Rumble,5/25/1945,Gemini,Visa,4556918269584549,491,9/2019,,1Z 1V6 419 31 7041 654 4,2025132225,49120534,Blue,Developmental psychologist,Magna Solution,2008 Fiat Bravo,BroadJournal.co.nz,O+,99.4,45.2,"3' 5""",104,29d729cb-7882-41b6-be88-d21dac6eafc2,-41.289878,174.836951
35,male,Hobbit,Mr.,Sancho,B,Lothran,227 Winter Street,Awapuni,,Gisborne,4010,NZ,New Zealand,SanchoLothran@gustr.com,Rame1938,Apai3otoh,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,(020) 0457-654,64,Brockhouse,6/29/1938,Cancer,Visa,4485638272134449,351,6/2019,,1Z 336 653 61 4477 356 2,9883450348,12645555,Blue,Realtor,Scotty's Builders Supply,2012 Ferrari FF,HairMonitor.co.nz,A+,112,50.9,"2' 6""",77,ed493a47-2b83-4fc8-b3b1-ae417dbf1cef,-38.616982,178.104676
41,female,Hobbit,Ms.,Amethyst,M,Smallburrow,216 David Street,Port Taranaki,,New Plymouth,4310,NZ,New Zealand,AmethystSmallburrow@jourrapide.com,Wrour1971,jiek7Uc3mu,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(028) 5220-351,64,Roper,5/22/1971,Gemini,MasterCard,5436756951310028,336,9/2020,,1Z 08V V56 20 9363 585 8,2305453750,81847051,Silver,Music arranger,County Market,1993 Chrysler Expresso,TextIdentity.co.nz,B+,133.5,60.7,"3' 11""",119,329e9566-debc-4cd0-999d-aa3310639f76,-39.053064,174.09823
43,male,Hobbit,Mr.,Haiduc,B,Burrowes,153 Turquoise Place,Pukehangi,,Rotorua,3015,NZ,New Zealand,HaiducBurrowes@einrot.com,Wrible,ooghahk9Ie,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(029) 0040-979,64,Burrowes,10/25/1958,Scorpio,MasterCard,5106869696590041,923,8/2018,,1Z 332 835 09 1013 949 2,5544302193,82599887,Red,Woodworking machine operator,Harvest Foods,2011 Nissan Murano CrossCabriolet,PopBooth.co.nz,A+,119.9,54.5,"3' 7""",110,66026ef7-b0bf-4f89-9a9c-cb29b050e8ae,-38.134459,176.14594
47,female,Hobbit,Ms.,Pandora,H,Proudfoot,155 Brake Avenue,Tikipunga,,Whangarei,112,NZ,New Zealand,PandoraProudfoot@einrot.com,Orecter,Lo2eib9Reey,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:41.0) Gecko/20100101 Firefox/41.0,(027) 0155-253,64,Twofoot,12/26/1949,Capricorn,Visa,4532159564138751,911,9/2019,,1Z 200 842 77 8421 505 8,6879990613,39243963,Blue,Insurance adjuster,Parade of Shoes,2003 Daewoo Magnus,EarlyUpdates.co.nz,A+,127.8,58.1,"2' 5""",74,00b2d008-c38a-4cdd-afc7-50d6bcf244a0,-35.608097,174.397681
60,female,Hobbit,Ms.,Arabella,M,Tûk,45 Carlisle Street,Hillgrove,,Waitaki,9410,NZ,New Zealand,ArabellaTuk@gustr.com,Whisis72,sei6theeGh,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(027) 5486-128,64,Longhole,1/11/1972,Capricorn,MasterCard,5186998482094430,880,6/2017,,1Z 267 727 75 8718 180 0,1203509094,58434570,Orange,Health information technician,A.J. August Fashion Wear,2014 Nissan Titan,GotBlogging.co.nz,A+,126.1,57.3,"3' 6""",106,0aff2d6f-f72b-42d0-af92-778e3cb7f269,-45.355701,170.805525
62,female,Hobbit,Ms.,Grimalda,O,Burrows,229 Sunshine Lane,Tainui,,Dunedin,9013,NZ,New Zealand,GrimaldaBurrows@superrito.com,Thansets,eChi0ijuo,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(020) 4478-909,64,Bolger,7/31/1932,Leo,MasterCard,5333852777178451,316,4/2019,,1Z 937 Y84 87 9723 341 5,6898833950,78830795,Red,Court reporter,Blockbuster Music,2000 Audi RS4,WirelessTrees.co.nz,O-,115.3,52.4,"2' 9""",83,57789755-5e4a-4b7a-8d5d-31576ed89d2d,-45.938041,170.495714
63,male,Hobbit,Mr.,Celedor,S,Zaragamba,90 Freyberg Street,Hamilton East,,Hamilton,3216,NZ,New Zealand,CeledorZaragamba@cuvox.de,Goofty,coohooRep1moh,Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0,(021) 6170-333,64,Noakes,8/28/1939,Virgo,MasterCard,5150559743008528,297,2/2019,,1Z 799 0W5 04 0176 522 1,598124722,89124040,Blue,Surveillance agent,Macroserve,1993 Pontiac Grand Prix,PromotionBlogs.co.nz,A+,138.4,62.9,"3' 6""",107,3cf13a8b-eb19-495e-8411-ba9cf772ca6a,-37.891168,175.284646
64,male,Hobbit,Dr.,Razanur,C,Oldbuck,115 Brookside,Nelson South,,Nelson,7010,NZ,New Zealand,RazanurOldbuck@armyspy.com,Sherverty,me4Jefoor,Mozilla/5.0 (Windows NT 6.1; rv:40.0) Gecko/20100101 Firefox/40.0,(027) 9848-345,64,Grubb,1/14/1984,Capricorn,Visa,4539081725200739,787,6/2019,,1Z 65A 323 33 3365 510 9,7013586447,41606184,Black,Audio and video equipment operator,Edge Garden Services,2008 Renault Logan,CleanFaces.co.nz,A+,119.5,54.3,"2' 1""",64,de7afa2e-3191-4c51-bf09-70285b06e1fe,-41.288143,173.361245
69,female,Hobbit,Mrs.,Chica ,P,Zaragamba,51 Clark Mcconachy Place,Whangarei Central,,Whangarei,110,NZ,New Zealand,ChicaZaragamba@jourrapide.com,Lovid1930,eeQu5bai5ai,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,(020) 6325-944,64,Hornblower,9/24/1930,Libra,Visa,4929462526328655,149,9/2017,,1Z 480 926 77 5157 167 1,6276874155,49236263,Black,Cargo and freight agent,Computer City,1992 Citroen BX,MobilePerformer.co.nz,B+,118.8,54,"3' 0""",92,642a4f1f-454a-4209-a151-4755ad155f4f,-35.759234,174.29926
70,female,Hobbit,Ms.,Lavinia,T,Greenhand,21 Cromarty Street,Runanga,,Greymouth,7803,NZ,New Zealand,LaviniaGreenhand@rhyta.com,Exclects,doh0chuaG,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(026) 5254-380,64,Sandyman,12/12/1950,Sagittarius,MasterCard,5216065923186169,13,12/2019,,1Z 15E W40 38 3202 696 6,6613245778,94771073,Brown,Software quality assurance analyst,Williams Bros.,2005 Toyota Land Cruiser,LampDirectory.co.nz,O+,102.5,46.6,"2' 8""",82,90dce1dc-99bd-4fac-be76-3f324b6f15ea,-42.367639,171.319675
71,female,Hobbit,Ms.,Salvia,B,Whitfoot,116 Cherrywood Place,Tihoitonga,,Rotorua,3015,NZ,New Zealand,SalviaWhitfoot@fleckens.hu,Dazint,Sheet6ee,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,(028) 6685-637,64,Bolger-Baggins,4/29/1948,Taurus,MasterCard,5269420021028795,108,8/2020,,1Z 4Y0 1E0 46 1905 467 1,9168213815,9848206,Green,Dairy farmer,Orion,1997 TVR Chimaera,BasicDealer.co.nz,A+,142.3,64.7,"3' 11""",119,ba58c637-502f-4ed1-ad06-ad31e5ac038d,-38.090545,176.173486
81,male,Hobbit,Mr.,Alberic,L,Sackville-Baggins,20 Wauchope Street,Makaraka,,Gisborne,4010,NZ,New Zealand,AlbericSackville-Baggins@armyspy.com,Cumbefted,cae6chipeiM,Mozilla/5.0 (Windows NT 6.1; rv:41.0) Gecko/20100101 Firefox/41.0,(027) 6014-014,64,Twofoot,5/13/1981,Taurus,Visa,4716421270186278,74,4/2019,,1Z 964 806 24 7200 722 8,5904738595,79450814,Black,Dental technician,Mr. D's IGA,2005 BMW 760,ResellerZoo.co.nz,A+,114,51.8,"3' 7""",110,475b3c9f-c641-4a47-a963-2eeb76dd7374,-38.65572,177.903626
83,female,Hobbit,Ms.,Daisy,G,Headstrong,123 Newcastle Street,Terrace End,,Palmerston North,4410,NZ,New Zealand,DaisyHeadstrong@fleckens.hu,Obst1947,OhghuaYa9oh,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:41.0) Gecko/20100101 Firefox/41.0,(027) 1237-596,64,Brandybuck,1/23/1947,Aquarius,MasterCard,5371286837302632,718,11/2020,,1Z 45V 432 00 9873 536 3,7996228649,90769427,Green,Rental manager,Garden Guru,2008 Chevrolet Malibu,LocalDVDs.co.nz,O+,115.9,52.7,"2' 10""",86,e18a1198-d20c-41b6-919d-4511ca970e06,-40.339028,175.688379
86,male,Hobbit,Mr.,Gorbaduc,G,Grubb,38 Queen Street,Dunedin North,,Dunedin,9016,NZ,New Zealand,GorbaducGrubb@einrot.com,Jobley,uimic0aePh1z,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(021) 2247-296,64,Bolger,1/26/1939,Aquarius,MasterCard,5518714133471995,660,11/2018,,1Z 303 070 41 6075 343 4,4060191721,94725500,Blue,Bodyguard,Rogers Food Stores,2002 BMW 332,CourseLists.co.nz,AB+,119.7,54.4,"2' 10""",86,e50b31ac-4c47-493a-b667-18dff462eef3,-45.915063,170.425014
90,male,Hobbit,Mr.,Adelbert,M,Grubb,134 Johnston Street,Gore,,Gore,9710,NZ,New Zealand,AdelbertGrubb@teleworm.us,Waaft1972,Eesooluo2,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,(029) 1491-164,64,Greenhand,4/8/1972,Aries,Visa,4485381030415574,82,9/2020,,1Z A18 327 00 4467 058 6,1855245479,91534916,Silver,Recreational therapist,Old America Stores,1995 Lada Samara,DeathFilm.co.nz,O+,115.9,52.7,"2' 11""",89,1d236b43-2cad-41be-95de-a824bb081db4,-46.039414,169.004048
91,male,Hobbit,Mr.,Caradas,E,Diggle,88 Moffat Road,Stanmore Bay,,Whangaparaoa,932,NZ,New Zealand,CaradasDiggle@superrito.com,Yousto1986,aLui1eekai,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:41.0) Gecko/20100101 Firefox/41.0,(021) 8825-661,64,Bolger-Baggins,10/21/1986,Libra,MasterCard,5180088716689191,994,10/2018,,1Z 8F7 2Y1 72 3027 818 1,8682572566,8253447,Green,Human services manager,Total Yard Management,2004 Ford Crown Victoria,PullCable.co.nz,A+,149.2,67.8,"3' 8""",113,e60b0bb9-1bc2-4014-88ab-a2c8d7d25668,-36.640818,174.659409
97,female,Hobbit,Ms.,Semolina,D,Labingi,156 Wratt Street,Lower Moutere,,Tasman,7120,NZ,New Zealand,SemolinaLabingi@fleckens.hu,Doill1936,meDiewo0,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(020) 5587-699,64,Took-Took,12/14/1936,Sagittarius,Visa,4556966354015317,687,11/2016,,1Z 27Y 804 43 7601 247 2,7037449586,60213472,Blue,CNC operator,Paul's Food Mart,2004 BMW 118,MarketingMystery.co.nz,A+,134,60.9,"2' 5""",73,d6b02c7f-f067-4142-b911-6d261534b47a,-41.139452,173.104185
103,female,Hobbit,Mrs.,Melilot,P,Noakes,161 Aurora Terrace,Wadestown,,Wellington,6012,NZ,New Zealand,MelilotNoakes@dayrep.com,Pribeeth,theil0Ey3I,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0,(021) 7082-640,64,Bolger,6/28/1933,Cancer,MasterCard,5578482217520064,460,1/2018,,1Z 009 660 78 5956 881 2,2421838957,49342827,Blue,Immunology technologist,Multi-Systems Merchant Services,2009 Chevrolet Corvette,LouisvilleHotspots.co.nz,A+,139.9,63.6,"4' 0""",122,eb72f202-3487-438d-9d1b-8aecd15e5dec,-41.274715,174.710009
105,female,Hobbit,Ms.,Myrtle,P,Burrows,215 Weka Grove,Maidstone,,Upper Hutt,5018,NZ,New Zealand,MyrtleBurrows@dayrep.com,Orameffees,Achoh4Oa7b,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:41.0) Gecko/20100101 Firefox/41.0,(026) 4658-001,64,Noakes,9/10/1961,Virgo,MasterCard,5109109064503640,583,10/2018,,1Z 394 444 42 1997 953 5,3821849995,4911328,Green,Material distribution,Quickbiz,1998 Volvo C70,FeeDetails.co.nz,O+,143.2,65.1,"3' 5""",105,0a934e66-00b4-4a51-8265-3300d44d8e4c,-41.125578,174.976562
107,male,Hobbit,Mr.,Kalimac,C,Took-Took,72 Frances Street,Okoroire,,Tirau,3410,NZ,New Zealand,KalimacTook-Took@teleworm.us,Marban,eiHah7eirai,Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0,(029) 7079-467,64,Goodbody,3/23/1933,Aries,Visa,4539402134742808,770,4/2020,,1Z 283 491 65 5364 137 1,336453532,95558171,Green,Audio and video equipment operator,Steve & Barry's,2008 BMW 535,TurfRepairs.co.nz,A-,129.8,59,"2' 10""",86,289a31f4-2561-46e0-a037-d1d95846337a,-37.987383,175.731514
111,male,Hobbit,Mr.,Wilimar,M,Hogpen,184 Gibson Road,Hamilton Central,,Hamilton,3204,NZ,New Zealand,WilimarHogpen@gustr.com,Romuffel51,Laixeev6z,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(020) 9173-600,64,Goldworthy,1/19/1951,Capricorn,Visa,4556393211876700,91,6/2018,,1Z 216 Y32 78 8084 458 7,8867230666,59979578,Red,Seismologist,Monsource,2002 Hummer H2,DollarMenus.co.nz,A-,124.3,56.5,"3' 7""",110,bfcc9f69-609d-4b5e-932c-db318ce35df3,-37.81998,175.266363
112,male,Hobbit,Mr.,Gorbaduc,P,Puddifoot,161 Blackridge Lane,Burwood,,Christchurch,8083,NZ,New Zealand,GorbaducPuddifoot@rhyta.com,Onday1965,luwughae1Poo,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:41.0) Gecko/20100101 Firefox/41.0,(027) 5438-844,64,Bunce,8/12/1965,Leo,Visa,4539757644929603,425,11/2019,,1Z 604 409 64 5504 070 7,2367447754,69082878,Green,Business office assistant,Security Sporting Goods,2003 Lamborghini Diablo,DoctorSeries.co.nz,O+,103.4,47,"2' 4""",70,6edaaf3c-26c9-42f4-a1d5-b6e4f7388cf2,-43.439748,172.62662
113,male,Hobbit,Mr.,Nob,D,Gardner,212 View Road,Tihoitonga,,Rotorua,3015,NZ,New Zealand,NobGardner@gustr.com,Prople,Eenoow9ahL,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,(022) 7412-719,64,Hayward,8/1/1953,Leo,Visa,4485323147283834,220,11/2020,,1Z 4E9 175 20 9524 608 8,3341183667,61885599,Green,Metal-refining furnace tender,Omni Superstore,2001 Isuzu VehiCross,PeerPhones.co.nz,O+,108.5,49.3,"3' 1""",93,73d633d2-809f-42c3-acda-00c3b59fb181,-38.048596,176.132076
115,male,Hobbit,Mr.,Crispus,P,Underhill,136 Pelorus Place,Yelverton,,Blenheim,7201,NZ,New Zealand,CrispusUnderhill@teleworm.us,Swers1953,iheeg9OoN,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:40.0) Gecko/20100101 Firefox/40.0,(026) 9599-872,64,Brownlock,7/16/1953,Cancer,MasterCard,5136738382373992,866,7/2016,,1Z Y88 134 55 0414 574 9,9542120592,46093895,Blue,Hospice nurse,Wag's,2005 Seat Cordoba,ProgramCam.co.nz,A+,122.5,55.7,"3' 2""",97,f05ef043-0ab4-413a-be0f-80b4c6390c95,-41.467983,174.050989
